2021-12-15 19:39:46,205:INFO: model = topk_10_mfg_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 2.241633; test: logloss_one = 0.264364; recall_one = 0.803486; hr_one = 0.803486; ndcg_one = 0.493526
2021-12-15 19:39:46,484:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.116043; test: logloss_one = 4.074071; recall_one = 0.268469; hr_one = 0.268469; ndcg_one = 0.136813
2021-12-15 19:39:50,640:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.519351; test: logloss_one = 0.196865; recall_one = 0.781217; hr_one = 0.781217; ndcg_one = 0.463272
2021-12-15 19:39:50,700:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.127072; test: logloss_one = 4.718916; recall_one = 0.412633; hr_one = 0.412633; ndcg_one = 0.232677
2021-12-15 19:39:55,030:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 2.657429; test: logloss_one = 0.084344; recall_one = 0.817838; hr_one = 0.817838; ndcg_one = 0.497366
2021-12-15 19:40:20,030:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 3.288873; test: logloss_one = 0.175234; recall_one = 0.768786; hr_one = 0.768786; ndcg_one = 0.459792
2021-12-15 19:40:47,797:INFO: model = topk_10_mfsvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.078725; test: logloss_one = 0.186085; recall_one = 0.879301; hr_one = 0.879301; ndcg_one = 0.568176
2021-12-15 19:41:00,630:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 1.595382; test: logloss_one = 0.041912; recall_one = 0.865403; hr_one = 0.865403; ndcg_one = 0.541115
2021-12-15 19:41:00,976:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.164349; test: logloss_one = 0.046988; recall_one = 0.827912; hr_one = 0.827912; ndcg_one = 0.504013
2021-12-15 19:41:04,883:INFO: model = topk_10_mfg_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.187190; test: logloss_one = 0.156158; recall_one = 0.806621; hr_one = 0.806621; ndcg_one = 0.489116
2021-12-15 19:41:06,965:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.081103; test: logloss_one = 0.034578; recall_one = 0.866635; hr_one = 0.866635; ndcg_one = 0.539750
2021-12-15 19:41:09,474:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.100093; test: logloss_one = 3.891536; recall_one = 0.307355; hr_one = 0.307355; ndcg_one = 0.162372
2021-12-15 19:41:19,133:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 2.064717; test: logloss_one = 1.722067; recall_one = 0.866980; hr_one = 0.866980; ndcg_one = 0.552660
2021-12-15 19:41:19,408:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.176849; test: logloss_one = 1.837402; recall_one = 0.863047; hr_one = 0.863047; ndcg_one = 0.547899
2021-12-15 19:41:20,159:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.105495; test: logloss_one = 3.984936; recall_one = 0.268088; hr_one = 0.268088; ndcg_one = 0.136018
2021-12-15 19:41:20,425:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.089580; test: logloss_one = 3.648044; recall_one = 0.282838; hr_one = 0.282838; ndcg_one = 0.145741
2021-12-15 19:41:21,709:INFO: model = topk_10_mfg_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 1.754900; test: logloss_one = 0.123129; recall_one = 0.844384; hr_one = 0.844384; ndcg_one = 0.523418
2021-12-15 19:41:26,729:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.103433; test: logloss_one = 3.736724; recall_one = 0.612989; hr_one = 0.612989; ndcg_one = 0.373775
2021-12-15 19:41:28,711:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.229591; test: logloss_one = 0.064471; recall_one = 0.810753; hr_one = 0.810753; ndcg_one = 0.488245
2021-12-15 19:41:30,907:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 1.990266; test: logloss_one = 0.043830; recall_one = 0.848660; hr_one = 0.848660; ndcg_one = 0.526190
2021-12-15 19:42:04,442:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 2.358878; test: logloss_one = 0.058347; recall_one = 0.824723; hr_one = 0.824723; ndcg_one = 0.502652
2021-12-15 19:42:23,911:INFO: model = topk_10_mfsvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.059668; test: logloss_one = 0.141906; recall_one = 0.881131; hr_one = 0.881131; ndcg_one = 0.569259
2021-12-15 19:42:34,039:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.124005; test: logloss_one = 0.033369; recall_one = 0.846467; hr_one = 0.846467; ndcg_one = 0.519289
2021-12-15 19:42:38,034:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.071582; test: logloss_one = 0.030902; recall_one = 0.871183; hr_one = 0.871183; ndcg_one = 0.544083
2021-12-15 19:42:40,911:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 1.474893; test: logloss_one = 0.035834; recall_one = 0.871999; hr_one = 0.871999; ndcg_one = 0.549108
2021-12-15 19:42:41,238:INFO: model = topk_10_mfg_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.115515; test: logloss_one = 0.074173; recall_one = 0.840144; hr_one = 0.840144; ndcg_one = 0.515981
2021-12-15 19:42:44,663:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.094477; test: logloss_one = 3.696233; recall_one = 0.369689; hr_one = 0.369689; ndcg_one = 0.197512
2021-12-15 19:42:52,888:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 1.722756; test: logloss_one = 1.315935; recall_one = 0.876311; hr_one = 0.876311; ndcg_one = 0.562459
2021-12-15 19:42:53,830:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.124330; test: logloss_one = 1.439420; recall_one = 0.872343; hr_one = 0.872343; ndcg_one = 0.555282
2021-12-15 19:42:54,754:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.100128; test: logloss_one = 3.895168; recall_one = 0.278653; hr_one = 0.278653; ndcg_one = 0.143445
2021-12-15 19:42:56,332:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.085654; test: logloss_one = 3.225072; recall_one = 0.463171; hr_one = 0.463171; ndcg_one = 0.262627
2021-12-15 19:42:56,796:INFO: model = topk_10_mfg_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 1.545756; test: logloss_one = 0.077390; recall_one = 0.858717; hr_one = 0.858717; ndcg_one = 0.534607
2021-12-15 19:43:02,875:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.083231; test: logloss_one = 2.928040; recall_one = 0.784297; hr_one = 0.784297; ndcg_one = 0.494409
