2021-12-15 21:05:45,785:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.371025; test: logloss_one = 0.517169; recall_one = 0.490397; hr_one = 0.490397; ndcg_one = 0.274026
2021-12-15 21:06:18,196:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.088197; test: logloss_one = 3.602646; recall_one = 0.451656; hr_one = 0.451656; ndcg_one = 0.249581
2021-12-15 21:06:29,857:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.095695; hr_one = 0.095695; ndcg_one = 0.042798
2021-12-15 21:06:34,382:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 3.402877; test: logloss_one = 3.638812; recall_one = 0.606457; hr_one = 0.606457; ndcg_one = 0.363014
2021-12-15 21:06:50,716:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.619474; test: logloss_one = 3.619607; recall_one = 0.594868; hr_one = 0.594868; ndcg_one = 0.364868
2021-12-15 21:06:56,459:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.278571; test: logloss_one = 0.463026; recall_one = 0.545033; hr_one = 0.545033; ndcg_one = 0.305604
2021-12-15 21:07:31,274:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.083770; test: logloss_one = 3.484472; recall_one = 0.456457; hr_one = 0.456457; ndcg_one = 0.253341
2021-12-15 21:07:38,985:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 10.789354; test: logloss_one = 0.691968; recall_one = 0.344040; hr_one = 0.344040; ndcg_one = 0.183290
2021-12-15 21:07:51,659:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 2.467404; test: logloss_one = 3.503578; recall_one = 0.640232; hr_one = 0.640232; ndcg_one = 0.382379
2021-12-15 21:08:01,869:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.287826; test: logloss_one = 3.543869; recall_one = 0.627152; hr_one = 0.627152; ndcg_one = 0.376247
