2021-12-16 09:33:20,851:INFO: model = topk_10_nmf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.252201; test: logloss_one = 0.034283; recall_one = 0.838168; hr_one = 0.838168; ndcg_one = 0.514447
2021-12-16 09:33:23,062:INFO: model = topk_10_nmf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 2.468809; test: logloss_one = 0.058176; recall_one = 0.841484; hr_one = 0.841484; ndcg_one = 0.519271
2021-12-16 09:33:44,424:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 3.005776; test: logloss_one = 3.608519; recall_one = 0.703209; hr_one = 0.703209; ndcg_one = 0.460386
2021-12-16 09:33:57,259:INFO: model = topk_10_mfg_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.091030; test: logloss_one = 3.642984; recall_one = 0.296936; hr_one = 0.296936; ndcg_one = 0.155559
2021-12-16 09:33:57,922:INFO: model = topk_10_nmf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.053952; test: logloss_one = 1.961946; recall_one = 0.856995; hr_one = 0.856995; ndcg_one = 0.536058
2021-12-16 09:33:59,491:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 1.842869; test: logloss_one = 0.056830; recall_one = 0.850110; hr_one = 0.850110; ndcg_one = 0.527711
2021-12-16 09:34:03,847:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.130080; test: logloss_one = 0.059431; recall_one = 0.840832; hr_one = 0.840832; ndcg_one = 0.515322
2021-12-16 09:34:04,374:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 1.436941; test: logloss_one = 0.627831; recall_one = 0.711653; hr_one = 0.711653; ndcg_one = 0.419366
2021-12-16 09:34:05,385:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.090041; test: logloss_one = 3.667144; recall_one = 0.270480; hr_one = 0.270480; ndcg_one = 0.137799
2021-12-16 09:34:06,065:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 3.683804; test: logloss_one = 3.377620; recall_one = 0.785710; hr_one = 0.785710; ndcg_one = 0.500778
2021-12-16 09:34:06,081:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 1.121274; test: logloss_one = 0.483471; recall_one = 0.744269; hr_one = 0.744269; ndcg_one = 0.440554
2021-12-16 09:34:06,871:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 4.090493; test: logloss_one = 0.446592; recall_one = 0.732256; hr_one = 0.732256; ndcg_one = 0.427049
2021-12-16 09:34:07,867:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.130044; test: logloss_one = 4.270846; recall_one = 0.269212; hr_one = 0.269212; ndcg_one = 0.136767
2021-12-16 09:34:13,504:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 4.294314; test: logloss_one = 0.641975; recall_one = 0.696903; hr_one = 0.696903; ndcg_one = 0.401814
2021-12-16 09:34:15,831:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.164126; test: logloss_one = 4.099216; recall_one = 0.268686; hr_one = 0.268686; ndcg_one = 0.136877
2021-12-16 09:34:52,526:INFO: model = topk_10_nmf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.086540; test: logloss_one = 0.015185; recall_one = 0.865023; hr_one = 0.865023; ndcg_one = 0.538973
2021-12-16 09:34:58,255:INFO: model = topk_10_nmf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 1.551630; test: logloss_one = 0.020271; recall_one = 0.867614; hr_one = 0.867614; ndcg_one = 0.547185
2021-12-16 09:35:18,158:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.986904; test: logloss_one = 2.852314; recall_one = 0.787541; hr_one = 0.787541; ndcg_one = 0.502655
2021-12-16 09:35:26,980:INFO: model = topk_10_mfg_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.083588; test: logloss_one = 3.035645; recall_one = 0.578089; hr_one = 0.578089; ndcg_one = 0.332557
2021-12-16 09:35:32,639:INFO: model = topk_10_nmf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 0.047384; test: logloss_one = 1.907039; recall_one = 0.872053; hr_one = 0.872053; ndcg_one = 0.557484
